,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI PM 10,1st Max Value PM 10,1st Max Hour PM 10,Arithmetic Mean PM 10
169,1,73,33.499722,-86.924167,2022-06-19,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
171,1,73,33.499722,-86.924167,2022-06-21,Alabama,Jefferson,Birmingham,26.0,28.0,23,28.0
172,1,73,33.499722,-86.924167,2022-06-22,Alabama,Jefferson,Birmingham,28.0,30.0,23,30.0
173,1,73,33.499722,-86.924167,2022-06-23,Alabama,Jefferson,Birmingham,25.0,27.0,23,27.0
174,1,73,33.499722,-86.924167,2022-06-24,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
175,1,73,33.499722,-86.924167,2022-06-25,Alabama,Jefferson,Birmingham,20.0,22.0,23,22.0
176,1,73,33.499722,-86.924167,2022-06-26,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
177,1,73,33.499722,-86.924167,2022-06-27,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
178,1,73,33.499722,-86.924167,2022-06-28,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
179,1,73,33.499722,-86.924167,2022-06-29,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
180,1,73,33.499722,-86.924167,2022-06-30,Alabama,Jefferson,Birmingham,11.0,12.0,23,12.0
181,1,73,33.499722,-86.924167,2022-07-01,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
182,1,73,33.499722,-86.924167,2022-07-02,Alabama,Jefferson,Birmingham,10.0,11.0,23,11.0
184,1,73,33.499722,-86.924167,2022-07-04,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
185,1,73,33.499722,-86.924167,2022-07-05,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
186,1,73,33.499722,-86.924167,2022-07-06,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
187,1,73,33.499722,-86.924167,2022-07-07,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
188,1,73,33.499722,-86.924167,2022-07-08,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
189,1,73,33.499722,-86.924167,2022-07-09,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
190,1,73,33.499722,-86.924167,2022-07-10,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
191,1,73,33.499722,-86.924167,2022-07-11,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
192,1,73,33.499722,-86.924167,2022-07-12,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
193,1,73,33.499722,-86.924167,2022-07-13,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
194,1,73,33.499722,-86.924167,2022-07-14,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
195,1,73,33.499722,-86.924167,2022-07-15,Alabama,Jefferson,Birmingham,23.0,25.0,23,25.0
197,1,73,33.499722,-86.924167,2022-07-17,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
198,1,73,33.499722,-86.924167,2022-07-20,Alabama,Jefferson,Birmingham,22.0,24.0,23,24.0
199,1,73,33.499722,-86.924167,2022-07-21,Alabama,Jefferson,Birmingham,23.0,25.0,23,25.0
200,1,73,33.499722,-86.924167,2022-07-22,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
201,1,73,33.499722,-86.924167,2022-07-23,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
202,1,73,33.499722,-86.924167,2022-07-24,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
203,1,73,33.499722,-86.924167,2022-07-25,Alabama,Jefferson,Birmingham,16.0,17.0,23,17.0
204,1,73,33.499722,-86.924167,2022-07-26,Alabama,Jefferson,Birmingham,16.0,17.0,23,17.0
205,1,73,33.499722,-86.924167,2022-07-27,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
206,1,73,33.499722,-86.924167,2022-07-28,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
207,1,73,33.499722,-86.924167,2022-07-29,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
208,1,73,33.499722,-86.924167,2022-07-30,Alabama,Jefferson,Birmingham,11.0,12.0,23,12.0
210,1,73,33.499722,-86.924167,2022-08-01,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
211,1,73,33.499722,-86.924167,2022-08-02,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
212,1,73,33.499722,-86.924167,2022-08-03,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
213,1,73,33.499722,-86.924167,2022-08-04,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
214,1,73,33.499722,-86.924167,2022-08-05,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
215,1,73,33.499722,-86.924167,2022-08-06,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
216,1,73,33.499722,-86.924167,2022-08-07,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
217,1,73,33.499722,-86.924167,2022-08-10,Alabama,Jefferson,Birmingham,16.0,17.0,23,17.0
218,1,73,33.499722,-86.924167,2022-08-11,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
219,1,73,33.499722,-86.924167,2022-08-12,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
220,1,73,33.499722,-86.924167,2022-08-13,Alabama,Jefferson,Birmingham,20.0,22.0,23,22.0
221,1,73,33.499722,-86.924167,2022-08-14,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
223,1,73,33.499722,-86.924167,2022-08-16,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
224,1,73,33.499722,-86.924167,2022-08-17,Alabama,Jefferson,Birmingham,16.0,17.0,23,17.0
225,1,73,33.499722,-86.924167,2022-08-18,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
226,1,73,33.499722,-86.924167,2022-08-19,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
227,1,73,33.499722,-86.924167,2022-08-20,Alabama,Jefferson,Birmingham,11.0,12.0,23,12.0
228,1,73,33.499722,-86.924167,2022-08-21,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
229,1,73,33.499722,-86.924167,2022-08-22,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
230,1,73,33.499722,-86.924167,2022-08-23,Alabama,Jefferson,Birmingham,12.0,13.0,23,13.0
231,1,73,33.499722,-86.924167,2022-08-24,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
232,1,73,33.499722,-86.924167,2022-08-25,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
233,1,73,33.499722,-86.924167,2022-08-26,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
234,1,73,33.499722,-86.924167,2022-08-27,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
236,1,73,33.499722,-86.924167,2022-08-29,Alabama,Jefferson,Birmingham,16.0,17.0,23,17.0
237,1,73,33.499722,-86.924167,2022-08-30,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
