,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI CO,1st Max Value CO,1st Max Hour CO,Arithmetic Mean CO
232,1,73,33.485556,-86.915,2022-08-21,Alabama,Jefferson,Fairfield,2.0,0.2,10,0.104167
233,1,73,33.485556,-86.915,2022-08-22,Alabama,Jefferson,Fairfield,3.0,0.3,14,0.1625
234,1,73,33.485556,-86.915,2022-08-23,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
236,1,73,33.485556,-86.915,2022-08-25,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.033333
237,1,73,33.485556,-86.915,2022-08-26,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.0875
238,1,73,33.485556,-86.915,2022-08-27,Alabama,Jefferson,Fairfield,5.0,0.4,4,0.229167
239,1,73,33.485556,-86.915,2022-08-28,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.091667
240,1,73,33.485556,-86.915,2022-08-29,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.104167
241,1,73,33.485556,-86.915,2022-08-30,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.2
242,1,73,33.485556,-86.915,2022-08-31,Alabama,Jefferson,Fairfield,3.0,0.3,23,0.104167
243,1,73,33.485556,-86.915,2022-09-01,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.2
244,1,73,33.485556,-86.915,2022-09-02,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.133333
245,1,73,33.485556,-86.915,2022-09-03,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.045833
246,1,73,33.485556,-86.915,2022-09-04,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.0875
247,1,73,33.485556,-86.915,2022-09-05,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.0375
249,1,73,33.485556,-86.915,2022-09-07,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
250,1,73,33.485556,-86.915,2022-09-08,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
251,1,73,33.485556,-86.915,2022-09-09,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.070833
252,1,73,33.485556,-86.915,2022-09-10,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.05
253,1,73,33.485556,-86.915,2022-09-11,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.025
254,1,73,33.485556,-86.915,2022-09-12,Alabama,Jefferson,Fairfield,2.0,0.2,20,0.116667
255,1,73,33.485556,-86.915,2022-09-13,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.108333
256,1,73,33.485556,-86.915,2022-09-14,Alabama,Jefferson,Fairfield,5.0,0.4,2,0.241667
257,1,73,33.485556,-86.915,2022-09-15,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.1625
258,1,73,33.485556,-86.915,2022-09-16,Alabama,Jefferson,Fairfield,3.0,0.3,6,0.170833
259,1,73,33.485556,-86.915,2022-09-17,Alabama,Jefferson,Fairfield,5.0,0.4,3,0.216667
